Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ADJ Vizi Wash Z19,10° - 60°,276W,,E,0,,4.436,12 Channel v.1.2,12,Z19 Wash,,,,,,,18.9lbs,,-2.96',9.73',-0.19',0°,-90°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,8d64e643-4b0c-4009-8296-b486f35d8390,
Blizzard Lighting HotBox RGBA,30°,47W,,D,0,,3.166,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-7.47',6.04',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,18096977-3921-4b83-88e9-b4b6b522b949,
Blizzard Lighting HotBox RGBA,30°,47W,,D,0,,2.174,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-7.47',11.67',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,acdd9cee-23dc-4627-9112-6af7d636f995,
MEGA-lite Bright Stripe,30°,17W,,D,0,,3.337,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-7.47',4.63',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,a434c827-d7aa-4f74-a25c-d055fe29d72a,
MEGA-lite Bright Stripe,30°,17W,,D,0,,3.385,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-7.47',7.45',1.33',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,1aa54043-fd8e-4a3d-82b8-8fb79602c7d7,
MEGA-lite Bright Stripe,30°,17W,,D,0,,3.433,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-7.47',10.26',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,38d5c2a8-d135-4261-9ce9-7d336d8a54fa,
ADJ 12PX Hex,30°,133W,,D,0,,3.190,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,-7.47',8.85',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,596f625a-5f59-4628-a4b8-9e90f18620ab,
ADJ Vizi Wash Z19,10° - 60°,276W,,D,0,,3.211,12 Channel v.1.2,12,Z19 Wash,,,,,,,18.9lbs,,-5.98',6.82',-0.19',0°,-90°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,a31b5522-aa2f-4d64-b7b8-ea2d04f3d5c2,
ADJ Vizi Wash Z19,10° - 60°,276W,,D,0,,3.105,12 Channel v.1.2,12,Z19 Wash,,,,,,,18.9lbs,,-8.95',9.85',-0.19',0°,-90°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,763dfc4e-b019-4d44-8c45-2c7b2f5337fe,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,7.193,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,19.11',6.04',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,782d693a-425a-4cbc-8cc4-454c51641554,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,7.201,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,19.11',11.67',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,482d2caf-25bc-4a43-a630-fc71d6f6e580,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.1,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,19.11',4.63',19.13',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,d84d63e7-c353-4dba-885e-276d3d7e8464,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.49,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,19.11',7.45',19.13',90°,-45.0°,-180.0°,-179°,90°,No,,,No,,,5c6089e7-c4b4-4312-a040-79da5491ac66,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.97,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,19.11',10.26',19.13',90°,45.0°,180.0°,-180°,90°,No,,,No,,,2eab5745-1b92-4555-a86c-b0ea2fbaa8c6,
ADJ 12PX Hex,30°,133W,,C,0,,7.261,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,19.11',8.85',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,1e07f8fa-35c2-403c-b48c-4204b13a8a42,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,7.209,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,22.17',6.04',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,e5450512-a7be-4637-b0f4-6540e17b5081,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,7.217,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,22.17',11.67',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,875969ce-0996-4134-bae8-7804b5a66a2b,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.145,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,22.17',4.63',19.13',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,7ec13f3c-98c2-4c83-ab80-03cf60f55e7a,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.385,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,22.17',7.45',19.13',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,8b8363da-c5f2-46b9-94a3-ddb8dc84d9a9,
MEGA-lite Bright Stripe,30°,17W,,C,0,,7.433,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,22.17',10.26',19.13',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,53d5052e-6cad-423e-bd7a-a0548b7282c5,
ADJ 12PX Hex,30°,133W,,C,0,,7.269,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,22.17',8.85',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,2dc3a68c-da07-4587-a4ac-01b1ae7dd3ab,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,2.297,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-22.17',6.04',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,ab6ac2f6-b8e3-42ff-bb82-b6466df94665,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,2.305,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-22.17',11.67',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,0aed81a2-b687-490c-95d7-463ba8286ac3,
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.1,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-22.17',4.63',19.13',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,bfef62ab-8a85-4e08-8062-d116b289e87b,
