Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"67.43""","93.65""","-282.98""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,1847b14e-8b9a-4f54-98c6-72bbb3b93d8e,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-24.81""","216.30""","60.10""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,b45baecd-f5f0-4d8a-a33b-2845b0978a30,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-70.21""","204.13""","60.10""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,73f32a23-20a9-4c2d-84a2-26ac60dd9142,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-8.05""","220.79""","60.10""",0°,0°,-75.0°,-90°,75°,No,,,No,,,65f93c91-ccef-4bb3-9e18-297453a5dce1,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-115.60""","191.97""","60.10""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,c4826ad6-942d-491f-a977-af7c27b4d71f,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-161.00""","179.81""","60.10""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,f280bb9e-6b23-4784-a7ac-002cd4efcbf7,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-98.85""","196.46""","60.10""",0°,0°,-75.0°,-90°,75°,No,,,No,,,9abbe5d4-99d2-404e-a55e-895bcc68b809,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-206.40""","167.64""","60.10""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,95c04307-229d-48bc-afd5-20ac6ca5586a,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-251.80""","155.48""","60.10""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,c48c2e72-5d64-4c6b-b07b-3abc93fa09a7,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-189.65""","172.13""","60.10""",0°,0°,-75.0°,-90°,75°,No,,,No,,,d05100c6-85e5-4f73-a6be-0fc6d4d73419,
