Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"233.54""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,937fb6be-44ba-46c8-86a8-cb04a1ec83b3,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"148.62""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,12f2a3f1-3a1a-45b6-b457-fbdb7cf8ff13,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"191.08""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,f7628895-45ed-4de4-a3ae-3c02b27b7da5,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"-21.23""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,285a15a3-719b-4527-a25f-9c4c1a2d6e8c,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-137.17""","38.86""","-145.91""",0°,0°,-180.0°,-90°,180°,No,,,No,,,8568e7be-6605-4f21-94b5-3b5b94577b08,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-32.33""","38.86""","-12""",0°,0°,-180.0°,-90°,180°,No,,,No,,,bdfcdf5e-21ed-403b-ac00-dca6c88ed13d,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"32.18""","38.88""","-12""",0°,0°,-180.0°,-90°,180°,No,,,No,,,b3c4498a-5ebf-4647-af28-0bdc8fabf0ce,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"136.55""","39.05""","-145.91""",0°,0°,-180.0°,-90°,180°,No,,,No,,,97632550-1ec2-4b92-9724-68496c9f04b0,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-37.82""","91.06""","-46.80""",-180°,45.0°,-90.0°,-45°,90°,No,,,No,,,0c988f12-2520-4f69-b64c-313a7d161ed3,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"37.82""","91.06""","-46.80""",-180°,-45.0°,90.0°,45°,90°,No,,,No,,,485ee910-fe69-479a-818c-d2b09e596a16,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-88.42""","91.06""","-97.27""",-180°,45.0°,-90.0°,-45°,90°,No,,,No,,,6d4e4bdc-3296-431e-a281-c1fab202f6b6,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Ground,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"88.42""","91.06""","-97.27""",-180°,-45.0°,90.0°,45°,90°,No,,,No,,,d21c5254-8190-4e3f-9879-f66aaa468cfb,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"114.54""","103.43""","-117.16""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,67cc197e-3422-4f96-966b-0411d48831cd,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"100.52""","103.43""","-103.15""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,70a55296-5a9e-4ddd-a646-35b45e462bf6,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"86.51""","103.43""","-89.14""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,c5a38305-f875-4a66-beb0-53392c10f5b3,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"72.50""","103.43""","-75.12""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,d8c7ffbb-810d-438f-925f-efa29203aacd,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"58.49""","103.43""","-61.11""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,95f82346-fe00-4ecb-8ccc-5bf51bb46b20,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"44.47""","103.43""","-47.10""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,50bc2b45-d217-48d0-a2e5-2aa701f48cdd,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"30.46""","103.43""","-33.09""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,4b8147d8-6eb5-4c63-b2de-0e6922519e0f,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"128.55""","103.43""","-131.18""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,ea2f915d-94cd-460a-ba7f-f56257920a43,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"16.45""","103.43""","-19.07""",90.0°,0.0°,135.0°,-225°,90°,No,0°,0°,No,0°,0°,9a75f9ff-26c1-4606-83ac-91a5fab86b86,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-114.54""","103.43""","-117.16""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,a765e72d-cc38-478a-9571-32b9bc3e4f68,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-100.52""","103.43""","-103.15""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,a6489bc1-1109-413a-9590-a0cb2c02ecc1,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-86.51""","103.43""","-89.14""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,f86f7f3c-ede4-454e-b94d-d01ed8b1ab86,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-72.50""","103.43""","-75.12""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,6df41f36-ade7-486f-bf31-293d1b304c1a,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-58.49""","103.43""","-61.11""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,4ccd550f-8b3c-4511-bb43-90c37a32d1d7,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-44.47""","103.43""","-47.10""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,3ab29a48-9aaa-4a14-af2e-f1bb09d7eb1c,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-30.46""","103.43""","-33.09""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,0ecc2ec0-cf9b-48d4-99ff-9b671704dfab,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-128.55""","103.43""","-131.18""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,14978c5b-92c4-4f7c-bdb2-c6707bfcae96,
GLP impression X4 Bar 10,7° - 50°,200W,,,0,,,Normal 1.6,33,Fixture Battens,,,,,,Substitue with any tilt or static batten,17.6lbs,,"-16.45""","103.43""","-19.07""",90.0°,-0.0°,-135.0°,-135°,90°,No,0°,0°,No,0°,0°,ea85e734-8b81-4ec4-95e0-d30b32576be1,
ADJ Entourage,,1500W,,,0,,,1 Channel,1,. Default layer,,,,,,Includes fan + extra fluid.  Substitute any hazer with similar capacity,46.9lbs,,"-315.79""","0""","-56.63""",0°,0°,0°,0°,0°,No,,,No,,,78a4f5bb-63ce-4ba6-837c-79bd3f3e8b16,
ADJ Entourage,,1500W,,,0,,,1 Channel,1,. Default layer,,,,,,Includes fan + extra fluid.  Substitute any hazer with similar capacity,46.9lbs,,"-0.91""","7.80""","-89.88""",0°,0°,0°,0°,0°,No,,,No,,,12d284ce-ab74-4388-96b5-1cdf3b9aea1c,
ADJ Entourage,,1500W,,,0,,,1 Channel,1,. Default layer,,,,,,Includes fan + extra fluid.  Substitute any hazer with similar capacity,46.9lbs,,"315.79""","0""","-56.63""",0°,0°,0°,0°,0°,No,,,No,,,50b5d0b5-586b-4678-8950-c989efa010ed,
